	text_id	text	task_1	task_2	task_3	punct_freq	misspell_count	noun_freq	propnoun_freq	adj_freq	verb_freq
0	text_id	text	task_1	task_2	task_3	0.0	0.0	1.0	0.0	0.0	0.0
1	hasoc_en_1	#dhonikeepstheglove | watch: sports minister kiren rijiju issues statement backing ms dhoni over 'balidaan badge', tells bcci to take up the matter with icc and keep government in the know as nation's pride is involved    url	NOT	NONE	NONE	0.03111111111111111	0.17073170731707318	0.34146341463414637	0.0	0.0975609756097561	0.1951219512195122
2	hasoc_en_2	 no. we should remember very clearly that #individual1 just admitted to treason . #trumpisatraitor  #mccainsahero #johnmccainday	HOF	HATE	TIN	0.046875	0.19047619047619047	0.14285714285714285	0.0	0.0	0.19047619047619047
3	hasoc_en_3	 guess who would be the winner of this #cwc19?     team who gets maximum points from the abandoned matches 😄 #shameonicc #wivseng 	NOT	NONE	NONE	0.03076923076923077	0.16	0.28	0.0	0.12	0.12
4	hasoc_en_4	corbyn is too politically intellectual for #borisjohnsonshouldnotbepm   can't wait   #generalelectionnow url	NOT	NONE	NONE	0.027777777777777776	0.21428571428571427	0.21428571428571427	0.0	0.14285714285714285	0.14285714285714285
5	hasoc_en_5	all the best to #teamindia for another swimming competition on sunday against #pakistan.     #indvpak #shameonicc  #cwc19 #cwc19rains ☔☔ url	NOT	NONE	NONE	0.05	0.2692307692307692	0.19230769230769232	0.0	0.19230769230769232	0.07692307692307693
6	hasoc_en_6	  i hope you remembered to wipe the blood off of you, after the pic was taken.  #bloodonhishands #murderer	NOT	NONE	NONE	0.03773584905660377	0.045454545454545456	0.18181818181818182	0.0	0.0	0.2727272727272727
7	hasoc_en_7	 latest design of #wc2019 trophy. #cwc2019 #cwc19 #shameonicc url	NOT	NONE	NONE	0.07692307692307693	0.35714285714285715	0.2857142857142857	0.0	0.2857142857142857	0.0
8	hasoc_en_8	#ados #trendingnow #blacklivesmatter #justice #fucktrump  ‘central park five’ prosecutor elizabeth lederer out at columbia law school url	HOF	PRFN	TIN	0.051094890510948905	0.2916666666666667	0.375	0.041666666666666664	0.20833333333333334	0.041666666666666664
9	hasoc_en_9	thanks for your support! wow 600k. graffiti has a massive impact nowadays, do not forget to show your own opinion!     #allcolorsarebeautiful   #powertothepeople  #fuckracism   #fucktrump   #makelovenotwar… url	NOT	NONE	NONE	0.047619047619047616	0.2	0.2857142857142857	0.0	0.14285714285714285	0.11428571428571428
10	hasoc_en_10	by wearing the #balidaanbadge over his gloves  has shown his love &amp; respect for the forces.      should understand that this is not related to any political/religious/racial activities    this is about our #nationalpride    #dhonikeepstheglove	NOT	NONE	NONE	0.032388663967611336	0.10256410256410256	0.1794871794871795	0.0	0.02564102564102564	0.20512820512820512
11	hasoc_en_11	mahendra singh dhoni's love for the nation, armed forces and soldiers has been intact which is truly commendable. he is nation's hero. no one represents our country better than him. i stand with   #dhonikeepstheglove #dhonikesaathdesh   #indiawithdhoni url	NOT	NONE	NONE	0.03515625	0.15217391304347827	0.2826086956521739	0.0	0.08695652173913043	0.17391304347826086
12	hasoc_en_12	i don’t know how much more i can take! 45 is a compulsive liar! #trump30hours #trumpisatraitor	HOF	HATE	TIN	0.05319148936170213	0.13636363636363635	0.13636363636363635	0.0	0.3181818181818182	0.18181818181818182
13	hasoc_en_13	#shameonicc@icc winner team-rain  icc run up team-rain  icc man of the match-rain  icc man of the series-rain  best bowler-rain  best wicketkeper-rain url	NOT	NONE	NONE	0.05194805194805195	0.28	0.4	0.04	0.2	0.04
14	hasoc_en_14	            grevious assault on jr doctors in all medical colleges in wb. no action being taken for safety security and justice. pm sir please intervene asap.  #savethedoctors  #doctorsfightback	NOT	NONE	NONE	0.02577319587628866	0.0625	0.46875	0.0	0.09375	0.0625
15	hasoc_en_15	icc denies request from bcci to allow msd wear gloves with army insignia.      #dhonikeeptheglove #dhonikeepstheglove	NOT	NONE	NONE	0.02564102564102564	0.1111111111111111	0.3888888888888889	0.0	0.1111111111111111	0.16666666666666666
16	hasoc_en_16	good work  keep going just destroy the whole fucking world cup #shameonicc url	HOF	PRFN	TIN	0.01282051282051282	0.14285714285714285	0.42857142857142855	0.0	0.14285714285714285	0.21428571428571427
17	hasoc_en_17	wow, you're full of it    #borisjohnsonshouldnotbepm   #kickthemout url 	NOT	NONE	NONE	0.05555555555555555	0.3333333333333333	0.25	0.0	0.16666666666666666	0.08333333333333333
